Балкон или лоджия;Мебель;Адрес;Жилая площадь;Количество комнат;Ремонт;Интернет и ТВ;Цена;Техника;Общая площадь;Площадь кухни;Санузел;Этаж;Оплата по счётчикам;Тип комнат
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 28; 65 м²; 2; евро; Wi-Fi, телевидение;50 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 90 м²; 15 м²; совмещенный; 4 из 5;; изолированные
;;Республика Татарстан, Казань, ул. Бутлерова, 29; 33.2 м²; 2; косметический;;18 000;; 63 м²; 13.1 м²;; 4 из 9;; изолированные
;;Республика Татарстан, Казань, ул. Волкова, 12; 15.5 м²; 1; косметический;;18 000;; 36.6 м²; 9.2 м²; раздельный; 3 из 6;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Марселя Салимжанова, 21;; 3; евро; Wi-Fi, телевидение;55 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 110 м²; 25 м²; совмещенный, раздельный; 3 из 5;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Качалова, 99/13; 15 м²; 1; косметический;;13 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 32 м²; 9 м²; раздельный; 3 из 5;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Павлюхина, 99Б; 26.8 м²; 2; евро; Wi-Fi, телевидение;45 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 51.6 м²; 11 м²; раздельный; 4 из 10;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Ибрагимова, 61; 23 м²; 1; косметический;;15 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 37 м²; 5 м²; раздельный; 7 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Хади Такташа, 119;; 1; евро;;17 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 39.7 м²; 10 м²; совмещенный; 15 из 17;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Роторная ул., 27В;; 1; дизайнерский; Wi-Fi, телевидение;20 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 25 м²; 10 м²; совмещенный; 2 из 21;;
 балкон; кухня, спальные места;Республика Татарстан, Казань, Спартаковская ул., 87; 22 м²; студия; косметический;;13 500; холодильник, плита, микроволновка, стиральная машина, телевизор; 33 м²;; совмещенный; 5 из 10;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Шуртыгина, 11А; 30.1 м²; 1; косметический;;13 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 38.7 м²; 5.5 м²; совмещенный; 3 из 5;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Адоратского, 15;; студия; дизайнерский; Wi-Fi, телевидение;15 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 16.2 м²;; совмещенный; 1 из 9;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Алексея Козина, 2; 42 м²; 3; дизайнерский; Wi-Fi, телевидение;80 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 90 м²; 20 м²; совмещенный; 8 из 20;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Серова, 35; 48.1 м²; 2; косметический;;15 500; холодильник, плита, микроволновка, стиральная машина, телевизор; 56.3 м²; 7.4 м²; совмещенный; 3 из 9;; изолированные
;;Республика Татарстан, Казань, ул. Абсалямова, 14;; 3; косметический;;30 000;; 78 м²; 10 м²;; 2 из 9;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Гоголя, 15;; 1; евро; Wi-Fi, телевидение;18 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 37.7 м²; 10 м²; раздельный; 2 из 5;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Адоратского, 3А;; 2; дизайнерский; Wi-Fi;40 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 52 м²; 20 м²;; 9 из 10;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Тансык, 7; 19 м²; 1; косметический;;15 000; холодильник, плита, микроволновка, стиральная машина; 41 м²; 10 м²; совмещенный; 5 из 18;;
;;Республика Татарстан, Казань, ул. Рихарда Зорге, 78;; 1; косметический;;17 000;; 36 м²; 9 м²;; 8 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Даурская ул., 35А; 35 м²; 2; дизайнерский; Wi-Fi, телевидение;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 51 м²; 15 м²; совмещенный; 6 из 10; включена в плату; смежные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Декабристов, 85; 18 м²; 1; евро;;17 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 35 м²; 7 м²; совмещенный; 4 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Разведчика Ахмерова, 7; 21 м²; 1; дизайнерский; Wi-Fi, телевидение;40 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 40 м²; 10 м²; совмещенный; 10 из 10; включена в плату;
;;Республика Татарстан, Казань, ул. Хади Такташа, 41; 16 м²; 1; косметический;;17 000;; 39.3 м²; 10 м²;; 7 из 10;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Кировский район, Приволжская ул., 106А;; 1; дизайнерский; Wi-Fi, телевидение;17 000; холодильник, плита, микроволновка, стиральная машина; 37 м²; 10 м²; совмещенный; 1 из 10;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 1;; 1; косметический;;18 500; холодильник, плита, микроволновка, стиральная машина; 39.4 м²; 11.2 м²; совмещенный; 8 из 14;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Хади Такташа, 121;; 1; евро; Wi-Fi, телевидение;22 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор; 40.2 м²; 8 м²; раздельный; 4 из 17;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Айрата Арсланова, 12/2;; 1; косметический; Wi-Fi, телевидение;15 000; холодильник, плита, микроволновка, телевизор; 35 м²; 8 м²; совмещенный; 10 из 15;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Латышских Стрелков, 35; 28.2 м²; 2; косметический;;19 500;; 45.8 м²; 7.6 м²; совмещенный; 4 из 5;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Минская ул., 45; 17 м²; 1; косметический; Wi-Fi, телевидение;15 000; холодильник, плита, стиральная машина; 45 м²; 15 м²; раздельный; 3 из 10;;
 балкон;;Республика Татарстан, Казань, ул. Академика Павлова, 19; 16 м²; 1; косметический;;15 000; холодильник, плита, микроволновка, стиральная машина; 32 м²; 7 м²; совмещенный; 4 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 3;; 1; косметический;;16 500; холодильник, плита, стиральная машина, телевизор; 36.6 м²; 9 м²; совмещенный; 7 из 16;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, микрорайон Горки-3, Дубравная ул., 43А; 25 м²; 2; евро; Wi-Fi, телевидение;25 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор, утюг; 63 м²; 15 м²; совмещенный; 2 из 5;; смежные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Хусаина Мавлютова, 7/22; 10 м²; 1; евро;;15 000; холодильник, плита, стиральная машина; 14 м²; 2 м²; совмещенный; 5 из 9;;
 лоджия;;Республика Татарстан, Казань, Чистопольская ул., 10/8;; 1; евро;;18 000;; 45 м²; 12 м²;; 5 из 10;;
;;Республика Татарстан, Казань, ул. Ноксинский Спуск, 21;; 1; евро;;16 000;; 42 м²; 10 м²;; 6 из 10;;
;;Республика Татарстан, Казань, ул. Фатыха Амирхана, 53Б;; 1; косметический;;17 000;; 36 м²; 10 м²;; 3 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 3;; 1; косметический;;16 500; холодильник, плита, стиральная машина, телевизор; 36.6 м²; 9 м²; совмещенный; 7 из 16;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Павлюхина, 110В;; 1; евро;;18 000; холодильник, плита, микроволновка, стиральная машина; 38.5 м²; 10 м²; совмещенный; 4 из 22;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Меховщиков, 4А; 20 м²; 1; косметический; телевидение;25 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 42 м²; 7 м²; раздельный; 7 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Альберта Камалеева, 32Б;; 1; евро;;25 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель; 38 м²; 12 м²; совмещенный; 4 из 19;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Победы, 139к2;; 1; евро;;16 000;; 41.6 м²; 10 м²; совмещенный; 9 из 24;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Академика Арбузова, 4;; студия; косметический; Wi-Fi;16 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель; 18 м²;; совмещенный; 2 из 5;;
 балкон;;Республика Татарстан, Казань, ул. Аметьевская Магистраль, 18к2;; 1; дизайнерский;;20 000;; 31 м²; 7 м²;; 6 из 26;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Архитектора Гайнутдинова, 26к3; 16 м²; 1; дизайнерский; Wi-Fi, телевидение;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 38 м²; 10 м²; совмещенный; 11 из 17;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Айрата Арсланова, 12/2;; 1; косметический; Wi-Fi, телевидение;15 000; холодильник, плита, микроволновка, телевизор; 35 м²; 8 м²; совмещенный; 10 из 15;;
;;Республика Татарстан, Казань, пр-т Ямашева, 12; 8 м²; 2; косметический;;18 500;; 47.8 м²; 30 м²;; 3 из 5;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Нурсултана Назарбаева, 70; 20.4 м²; 1; косметический;;14 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 35.6 м²; 4.5 м²; совмещенный; 4 из 5;;
;;Республика Татарстан, Лаишевский р-н, с. Усады, Счастливая ул., 5;; 1; косметический;;17 000;; 37 м²; 10 м²;; 6 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Маяковского, 12;; 1; дизайнерский; Wi-Fi, телевидение;25 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 50.6 м²; 10 м²; совмещенный; 3 из 5;;
;;Республика Татарстан, Казань, пр-т Победы, 39; 18.1 м²; 1; евро;;18 000;; 34.1 м²; 6 м²;; 4 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Николая Ершова, 62Дк1; 17.5 м²; 1; дизайнерский; Wi-Fi, телевидение;40 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор; 40 м²; 10.3 м²; совмещенный; 3 из 10;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Павлюхина, 103;; студия; косметический;;13 500; холодильник, плита, микроволновка, стиральная машина, телевизор; 13.7 м²;; совмещенный; 5 из 5;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Шамиля Усманова, 19к1; 22 м²; 2; косметический;;19 500; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 43.9 м²; 6.2 м²; совмещенный; 2 из 5;; изолированные
;;Республика Татарстан, Казань, ул. Галимджана Баруди, 18;; 1; косметический;;17 500;; 45.8 м²; 12 м²;; 4 из 9;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Лукина, 52; 23 м²; 1; евро;;16 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 42 м²; 9 м²; совмещенный; 8 из 10;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Карбышева, 40;; 1; косметический;;14 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 29 м²; 7 м²; совмещенный; 9 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Бойничная ул., 10; 19 м²; 1; косметический;;11 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 35.6 м²; 8 м²; совмещенный; 3 из 6;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Тимирязева, 10;; 2; косметический;;17 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 71 м²; 11 м²; раздельный; 2 из 5;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Столярова, 35; 55 м²; 3; евро; Wi-Fi, телевидение;25 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 65 м²; 5 м²; раздельный; 4 из 5;; изолированные, смежные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Теплично-Комбинатская ул., 8;; 1; косметический; Wi-Fi, телевидение;13 000; холодильник, плита, микроволновка, стиральная машина; 36 м²; 7 м²; раздельный; 2 из 3;;
;;Республика Татарстан, Казань, улица Латышских Стрелков, 29;; студия; косметический;;13 000;; 15 м²;;; 1 из 9;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Гудованцева, 22А;; 2; косметический; телевидение;13 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 23 м²; 4 м²; раздельный; 3 из 5;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Советский район, Пионерская ул., 8;; 1; евро;;17 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 35 м²; 9 м²; совмещенный; 3 из 4;;
;;Республика Татарстан, Казань, ул. Годовикова, 14;; 2; косметический;;19 000;; 44 м²; 5 м²; раздельный; 3 из 5;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Четаева, 25; 15 м²; 1; косметический; Wi-Fi, телевидение;12 500; холодильник, плита, микроволновка, стиральная машина, телевизор; 33 м²; 9 м²; совмещенный; 6 из 10;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Железнодорожников, 15; 16 м²; 1; евро;;13 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 30 м²; 9 м²; совмещенный; 5 из 9;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 82; 17 м²; 1; евро;;32 000; холодильник, плита, стиральная машина, телевизор; 38 м²; 11.5 м²; совмещенный; 5 из 9;;
;;Республика Татарстан, Казань, ул. Максимова, 40; 14 м²; 1; косметический;;20 000;; 44 м²; 11 м²;; 10 из 10;;
;;Республика Татарстан, Казань, ул. Братьев Касимовых, 84; 16 м²; 1; косметический;;17 500;; 31.5 м²; 7 м²;; 3 из 5;;
 балкон;;Республика Татарстан, Казань, ул. Красной Позиции, 1;; 1; евро; Wi-Fi, телевидение;22 000; холодильник, плита, стиральная машина; 30 м²; 10 м²;; 5 из 5;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Адоратского, 3Б;; 1; евро; телевидение;25 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 52 м²; 10 м²; совмещенный; 8 из 14;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Амирхана Еники, 17;; 1; косметический;;18 000; холодильник, плита; 36.7 м²; 12 м²; совмещенный; 1 из 10;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 88; 17 м²; 1; евро; Wi-Fi, телевидение;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор; 47 м²; 17 м²; совмещенный; 18 из 23;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Фикрята Табеева, 1;; 1; евро; Wi-Fi, телевидение;17 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 40 м²; 10 м²;; 6 из 10;;
;;Республика Татарстан, Казань, ул. Академика Завойского, 8; 33 м²; 2; евро;;18 000;; 52.5 м²; 8 м²;; 9 из 9;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Дуслык, 4; 19.2 м²; 1; косметический; Wi-Fi, телевидение;25 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 39 м²; 9.2 м²;; 1 из 7;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Победы, 46Б; 28 м²; 1; евро; Wi-Fi;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 54 м²; 18 м²; совмещенный; 17 из 19;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Кул Гали, 24;; 1; косметический;;16 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 49.2 м²; 16 м²; совмещенный; 7 из 9;;
;;Республика Татарстан, Казань, ул. Декабристов, 131;; 1; косметический;;18 000;; 37 м²; 7 м²;; 2 из 9;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Академика Глушко, 9к1; 30 м²; 2; косметический;;14 000; холодильник, плита, стиральная машина; 52 м²; 8 м²; совмещенный; 8 из 10;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Декабристов, 154; 20 м²; 1; косметический; телевидение;17 000; холодильник, плита, телевизор; 30 м²; 7 м²; совмещенный; 1 из 5;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Четаева, 31;; 1; косметический;;15 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 33 м²; 7 м²; совмещенный; 1 из 10;;
;;Республика Татарстан, Казань, ул. Абжалилова, 1/82;; 1; косметический;;14 000;; 18 м²; 7 м²;; 4 из 5;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Вахитовский район, Большая Красная ул., 1А;; 1; косметический;;16 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 30.7 м²; 6.5 м²; совмещенный; 3 из 5;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Вахитовский район, Большая Красная ул., 3;; 2; косметический; Wi-Fi, телевидение;23 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 44 м²; 12 м²; совмещенный; 5 из 5;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Достоевского, 74; 19 м²; 1; евро; Wi-Fi, телевидение;25 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 30 м²; 6 м²; совмещенный; 2 из 5; включена в плату;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Айрата Арсланова, 12/2;; 1; косметический; Wi-Fi, телевидение;15 000; холодильник, плита, микроволновка, телевизор; 35 м²; 8 м²; совмещенный; 10 из 15;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Сибгата Хакима, 5А; 25 м²; 1; евро; Wi-Fi, телевидение;24 999; кондиционер, холодильник, плита, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 38 м²; 10 м²; совмещенный; 4 из 10;;
;;Республика Татарстан, Казань, ул. Академика Королёва, 14; 27.9 м²; 2; косметический;;20 000;; 47.5 м²; 8.6 м²;; 3 из 5;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Аделя Кутуя, 46; 48 м²; 2; косметический; Wi-Fi;30 000; холодильник, плита, стиральная машина; 86 м²; 12 м²; раздельный; 2 из 9;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Сибгата Хакима, 46;; 2; евро; Wi-Fi;35 000; холодильник, плита, микроволновка, стиральная машина, посудомоечная машина; 54 м²; 9 м²; совмещенный; 10 из 20;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Лейтенанта Шмидта, 48;; 1; косметический; Wi-Fi, телевидение;18 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 31.1 м²; 6 м²; совмещенный; 3 из 5;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Рихарда Зорге, 66В;; 1; евро; Wi-Fi, телевидение;15 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 42 м²; 9 м²; совмещенный; 11 из 24;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Аметьевская Магистраль, 16к4;; 2; евро; Wi-Fi;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 45 м²; 20 м²; совмещенный; 13 из 23;; смежные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Фатыха Амирхана, 14Б; 39 м²; 2; евро; Wi-Fi, телевидение;50 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 85 м²; 15 м²; раздельный; 10 из 17; включена в плату; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 16/15;; 1; евро; Wi-Fi, телевидение;16 500; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор; 55.1 м²; 12 м²; раздельный; 7 из 16;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Хайдара Бигичева, 3; 45 м²; 3; евро; Wi-Fi, телевидение;25 000; холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 65 м²; 12 м²; раздельный; 2 из 10;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Хади Такташа, 123; 30.4 м²; 2; косметический; Wi-Fi, телевидение;19 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 46.4 м²; 5.2 м²; совмещенный; 1 из 5;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Побежимова, 36; 18 м²; 1; евро;;18 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 37 м²; 10 м²; совмещенный; 7 из 12;;
 балкон; кухня, спальные места;Республика Татарстан, Казань, проспект Альберта Камалеева, 30, подъезд 4; 20 м²; 1; дизайнерский;;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 37 м²; 7 м²; совмещенный; 8 из 23;;
